NUVA,label,comment,abstract,instanceOf
VAC0066,DTCP PASTEUR,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine), coquelucheux (acellulaire multicomposé, dose standard) et poliomyélitique (entier inactivé, trivalent)",False,VAC0551
VAC0067,HAVRIX 360 U,"Vaccin entier inactivé contre l'hépatite A, dose pédiatrique",False,VAC0911
VAC0068,MONOVAX,Vaccin contre la tuberculose (vivant atténué),False,VAC0134
VAC0069,MENOMUNE,"Vaccin polyosidique non conjugué contre les méningocoques des sérogroupes A, C, W et Y",False,VAC0152
VAC0070,DT BIS,"Vaccin pédiatrique diphtérique (anatoxine, dose standard) et tétanique (anatoxine)",False,VAC0137
VAC0071,D.T. BIS - RUDIVAX,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine) et contre la rubéole (vivant atténué)",False,VAC1221
VAC0072,JE-VAX,"Vaccin entier inactivé contre l'encéphalite japonaise, préparé sur tissu cérébral murin, souche Nakayama, voie injectable 
Autres noms : JEVAX, BIKEN",False,VAC1196
VAC0073,IXIARO,"Vaccin entier inactivé contre l'encéphalite japonaise, préparé sur cellules Vero, adsorbé",False,VAC1111
VAC0074,D.T. COQ MERIEUX,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine) et coquelucheux (entier inactivé)",False,VAC0136
VAC0076,DTVax,"Vaccin pédiatrique diphtérique (anatoxine, dose standard) et tétanique (anatoxine)",False,VAC0137
VAC0077,IMOVAX Mumps,Vaccin vivant atténué contre les oreillons,False,VAC0153
VAC0078,RUDI-ROUVAX,Vaccin vivant atténué contre la rougeole et la rubéole,False,VAC0550
VAC0079,ENCEPUR,"Tick-borne encephalitis vaccine, whole-virus inactivated, K23 strain",False,VAC1533
VAC0080,BCG PASTEUR,Vaccin contre la tuberculose (vivant atténué),False,VAC0134
VAC0082,MenBvac,"Vaccin contre les méningocoques du sérogroupe B (à protéines de vésicules de membrane externe B:14:P1.7,16)",False,VAC0149
VAC0083,SYNFLORIX,"Vaccin pneumococcique polyosidique conjugué, 10-valent, séroptypes 1, 4, 5, 6B, 7F, 9V, 14, 18C, 19F et 23F",False,VAC1233
VAC0084,"Vaccin Grippe prépandémique H5N1, sans précision",Vaccin contre la grippe A(H5N1),True,
VAC0085,T POLIO MERIEUX,"Vaccin tétanique (anatoxine) et poliomyélitique (entier inactivé, trivalent)",False,VAC0380
VAC0086,TETAVAX,Vaccin tétanique (anatoxine),False,VAC0132
VAC0087,VAXICOQ,Vaccin coquelucheux (entier inactivé),False,VAC0163
VAC0088,"Vaccin DTP - Diphtérie-Tétanos-Polio, sans précision","Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine) et poliomyélitique (entier inactivé, trivalent)",True,
VAC0090,VACCIN BRUCELLIQUE P.I. à usage humain,Vaccin protéique (antigène P.I.) contre la brucellose,False,VAC1203
VAC0091,VACCIN CCB PASTEUR,Association de bactéries inactivées visant à stimuler le système immunitaire. CCB = contre les complications bronchiques. Pas vraiment un vaccin...,False,VAC0157
VAC0092,VACCIN CHOLERIQUE PASTEUR,"Vaccin cholérique entier inactivé, injectable",False,VAC0805
