NUVA,label,comment,abstract,instanceOf
VAC0241,HAEMOPHILUS INFLUENZAE B CONJUGATE VACCINE - SERUM INSTITUTE OF INDIA,"Haemophilus influenzae type b vaccine, capsular polysaccharide (polyribosylribitol phosphate, PRP) conjugated to tetanus toxoid",False,VAC0345
VAC0242,HBY,"Recombinant hepatitis B vaccine, adult dose",False,VAC0915
VAC0243,HEPA-B INJECTION,Hepatitis B vaccine (Paediatric dose 10 µg/mL and adult dose 20 µg/mL),False,VAC1125
VAC0244,HEPRECOMB,Recombinant hepatitis B vaccine with 10 micrograms of HBs antigen for use from the age of 11 years,False,VAC0914
VAC0245,HEPTAVAX B,"Plasma hepatitis B vaccine, used in the USA from 1981 to 1990",False,VAC1155
VAC0246,HIBERNA PRODUCTSIX,Tetanus toxoid and seasonal influenza (trivalent) vaccine,False,VAC1130
VAC0247,HIBTITER,"Haemophilus influenzae type b vaccine, capsular oligosaccharides (polyribosylribitol phosphate, PRP) conjugated to mutant diphtheria toxin CRM197",False,VAC0919
VAC0248,HINKUYS KAROKOE,Pertussis (whole-cell inactivated) vaccine,False,VAC0163
VAC0249,RUBELLA VACCINE HPV-77,"Live attenuated rubella vaccine, grown on duck embryonic cells (HPV-77 strain)",False,VAC0113
VAC0251,HUMOTET-ANTI TETANUS,Tetanus toxoid vaccine,False,VAC0132
VAC0252,VAXIGRIP ENFANTS,"Trivalent inactivated seasonal influenza vaccine, split virion, pediatric form",False,VAC1534
VAC0253,VAXIRAB N,"Whole virion inactivated rabies vaccine, Flury LEP strain, purified chick embryo cell vaccine (PCECV), inactivated with ß-propiolactone",False,VAC0942
VAC0254,IMOVAX D.T.,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False,VAC0137
VAC0255,IMOVAX GRIPPE,Trivalent inactivated seasonal influenza vaccine,False,VAC0925
VAC0256,IMOVAX MUMPS,Live attenuated mumps vaccine,False,VAC0153
VAC0257,IMOVAX PAROTIDITIS,Live attenuated mumps vaccine,False,VAC0153
VAC0258,IMOVAX R.O.R.,"Live attenuated measles, mumps and rubella vaccine",False,VAC0130
VAC0259,IMOVAX Rabies,"Whole virion inactivated rabies vaccine, prepared in MRC5 cells",False,VAC0943
VAC0260,IMOVAX Rabies I.D.,"Whole virion inactivated rabies vaccine, prepared in human diploid cell culture (HDCV), intradermal",False,VAC0943
VAC0261,IMOVAX Rabies I.M.,Whole virion inactivated rabies vaccine (intramuscular administration),False,VAC0131
VAC0262,IMOVAX RUBEOLA,Live attenuated rubella vaccine,False,VAC0113
VAC0263,IMOVAX SARAMPION,Live attenuated measles vaccine,False,VAC0114
VAC0264,INFANRIX,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (multicomponent acellular, standard dose) pediatric vaccine",False,VAC0602
VAC0265,INFLU-KOVAX,Trivalent inactivated seasonal influenza vaccine,False,VAC0925
VAC0266,INFLUENZA HA VACCINE KOVAX,Trivalent inactivated seasonal influenza vaccine,False,VAC0925
VAC0267,IPAD TP,Tetanus toxoid and inactivated polio (trivalent) vaccine,False,VAC0380
VAC0268,IPOL,Inactivated polio (trivalent) vaccine,False,VAC0270
VAC0270,"Inactivated Polio vaccine, unspecified",Inaktywowana szczepionka przeciwko polio (trójwalentna),True,
VAC0271,ISTIVAC,Trivalent inactivated seasonal influenza vaccine,False,VAC0925
VAC0272,KAKSOISROKOTE DUBBELVACCIN,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False,VAC0137
VAC0273,KIKHOSTE-VAKSINE,Pertussis (whole-cell inactivated) vaccine,False,VAC0163
VAC0274,LANCY VAXINA,"Smallpox vaccine, first-generation, live vaccinia virus",False,VAC1122
VAC0275,LAVANTUU TIROKOTE,"Typhoid vaccine, unspecified",False,VAC0112
VAC0276,LIOVAX,"Smallpox vaccine, first-generation, live vaccinia virus",False,VAC1122
VAC0277,LIRUBEL,Live attenuated measles and rubella vaccine,False,VAC0550
VAC0278,LIRUGEN,Live attenuated measles vaccine,False,VAC0114
VAC0280,MUMPS-MEASLES VACCINE MICROGEN,Live attenuated measles and mumps vaccine,False,VAC0623
VAC0281,LM - 3 RIT,"Live attenuated measles, mumps and rubella vaccine",False,VAC0130
VAC0282,LTEANAS IMUNA,Tetanus toxoid vaccine,False,VAC0132
VAC0283,LYMERIX,"Recombinant Lyme disease vaccine, OspA antigen",False,VAC1180
VAC0284,LYOVAC ATTENUVAX,Live attenuated measles vaccine,False,VAC0114
VAC0285,LYOVAC MERUVAX,Live attenuated rubella vaccine,False,VAC0113
VAC0286,M-M-R II,"Live attenuated measles, mumps and rubella vaccine",False,VAC0130
VAC0287,M-R VAX,Live attenuated measles and rubella vaccine,False,VAC0550
VAC0288,M-R VAX II,Live attenuated measles and rubella vaccine,False,VAC0550
VAC0289,M-VAX,Live attenuated measles vaccine,False,VAC0114
VAC0290,MASERN-IMPFSTOFF SSW,Live attenuated measles vaccine,False,VAC0114
VAC0291,MEASLES VACCINE AIK-C STRAIN POLYVAC,Live attenuated measles vaccine,False,VAC0114
VAC0292,MEASLES VACCINE DK3,Live attenuated measles vaccine,False,VAC0114
VAC0293,MENAFRIVAC,"Meningococcal conjugate vaccine, serogroup A (conjugated to tetanus toxoid)",False,VAC1218
VAC0294,MENCEVAX A,"Unconjugated meningococcal polysaccharide vaccine, serogroup A",False,VAC0865
VAC0295,MENOMUNE-A/C/Y/W-135,"Unconjugated meningococcal polysaccharide vaccine, serogroups A, C, W and Y",False,VAC0152
VAC0296,MENPOVAX 4 A+C+Y+W135,"Unconjugated meningococcal polysaccharide vaccine, serogroups A, C, W and Y",False,VAC0152
VAC0297,MENPOVAX A+C,"Unconjugated meningococcal polysaccharide vaccine, serogroups A and C",False,VAC0151
VAC0298,MERUVAX,Live attenuated rubella vaccine,False,VAC0113
VAC0299,MERUVAX II,Live attenuated rubella vaccine,False,VAC0113
VAC0300,MEVILIN-L,Live attenuated measles vaccine,False,VAC0114
VAC0301,MMR,"Live attenuated measles, mumps and rubella vaccine",False,VAC0130
VAC0303,MONIARIX,"Unconjugated pneumococcal polysaccharide vaccine, 17-valent, serotypes 1, 2, 3, 4, 6A, 7F, 8, 9N, 11A, 12F, 14, 15F, 17F, 18C, 19F, 23F and 25",False,VAC1131
VAC0304,MOPAVAC SEVAC,Live attenuated measles and mumps vaccine,False,VAC0623
VAC0305,MOPV,"Polio vaccine (live attenuated, trivalent) against polioviruses 1, 2 and 3, oral",False,VAC0320
VAC0306,MORBILVAX,Live attenuated measles vaccine,False,VAC0114
VAC0307,MORUBEL,Live attenuated measles and rubella vaccine,False,VAC0550
VAC0308,MORUMAN BERNA PRODUCTS,Measles immunoglobulin,False,VAC0862
VAC0309,MORUPAR,"Live attenuated measles, mumps and rubella vaccine",False,VAC0130
VAC0310,MOVIVAC,Live attenuated measles vaccine,False,VAC0114
