SNOMED-CT,NUVA,SNOMED-CT label, NUVA label
SNOMED-CT-#425638005,#MISS,"Recombinant hepatitis B virus surface antigen 10micrograms/diphtheria toxoid 30 iu/tetanus toxoid 40 iu/acellular pertussis 25micrograms injection solution 0.5mL prefilled syringe",
SNOMED-CT-#426081003,#MISS,"Diphtheria + tetanus + pertussis + recombinant hepatitis B virus vaccine",
SNOMED-CT-#426130006,#MISS,"Haemophilus b polysaccharide 10micrograms/tetanus toxoid 30micrograms powder for injection solution vial + diluent",
SNOMED-CT-#426361005,#MISS,"Diphtheria toxoid 30 iu/tetanus toxoid 40 iu/acellular pertussis 25micrograms/recombinant hepatitis B virus surface antigen 10micrograms/inactivated poliomyelitis injection solution 0.5mL prefilled syringe",
SNOMED-CT-#426842004,#MISS,"Diphtheria + tetanus + pertussis + poliomyelitis + recombinant hepatitis B virus + recombinant haemophilus influenzae type B vaccine",
SNOMED-CT-#426849008,#MISS,"Influenza virus H5N1 vaccine",
SNOMED-CT-#426971004,#MISS,"Haemophilus influenzae Type b + recombinant hepatitis B virus vaccine",
SNOMED-CT-#427036009,#MISS,"Influenza virus H5N1 vaccine",
SNOMED-CT-#427048007,#MISS,"Haemophilus influenzae type b 10micrograms/diphtheria toxoid 30 iu/tetanus toxoid 40 iu/pertussis 25micrograms/recombinant hepatitis B virus surface antigen 10micrograms/inactivated poliomyelitis injection solution 0.5mL prefilled syringe",
SNOMED-CT-#427077008,#MISS,"Influenza virus H5N1 vaccine injection solution 5mL multi-dose vial",
SNOMED-CT-#427514003,#MISS,"Haemophilus influenzae type b 7.5micrograms/recombinant hepatitis B virus surface antigen 5micrograms injection solution 0.5mL vial",
SNOMED-CT-#427533008,#MISS,"Q fever vaccine",
SNOMED-CT-#427542001,#MISS,"Diphtheria + tetanus + pertussis + poliomyelitis + recombinant hepatitis B virus vaccine",
SNOMED-CT-#427674002,#MISS,"Q fever vaccine",
SNOMED-CT-#427682002,#MISS,"Diphtheria toxoid 30 iu/tetanus toxoid 40 iu/acellular pertussis toxoid 25micrograms injection solution 0.5mL prefilled syringe",
SNOMED-CT-#427806004,#MISS,"Diphtheria + tetanus + haemophilus influenzae type b vaccine",
SNOMED-CT-#428126001,#MISS,"Diphtheria vaccine",
SNOMED-CT-#428214002,#MISS,"Diphtheria vaccine",
SNOMED-CT-#428601009,#MISS,"Paratyphoid vaccine",
SNOMED-CT-#428688001,#MISS,"Live smallpox vaccine powder 3mL vial + diluent",
SNOMED-CT-#430410002,#MISS,"Influenza virus vaccine-containing product in nasal dose form",
SNOMED-CT-#430875008,#MISS,"Rotavirus live vaccine powder for 1mL oral suspension + diluent",
SNOMED-CT-#439796003,#MISS,"Live adenovirus type 4 vaccine",
SNOMED-CT-#439977005,#MISS,"Live adenovirus type 7 vaccine",
SNOMED-CT-#440075005,#MISS,"Live measles + rubella vaccine injection dose form",
SNOMED-CT-#442315004,#MISS,"Influenza A virus subtype H1N1 vaccine",
SNOMED-CT-#443161002,#MISS,"Influenza A virus subtype H1N1 monovalent vaccine 0.5mL injection solution",
SNOMED-CT-#443651005,#MISS,"Influenza A virus subtype H1N1 vaccine",
SNOMED-CT-#448897007,#MISS,"Inactivated Influenza split virion subtype H1N1v-like strain adjuvant vaccine",
SNOMED-CT-#448964007,#MISS,"Pneumococcal 13-valent conjugate vaccine",
SNOMED-CT-#449019003,#MISS,"Acellular pertussis vaccine",
SNOMED-CT-#449240007,#MISS,"Diphtheria + acellular pertussis adsorbed + inactivated polio + tetanus toxoids vaccine",
SNOMED-CT-#451022006,#MISS,"Inactivated Influenza split virion subtype H1N1v-like strain unadjuvanted vaccine",
SNOMED-CT-#45355008,#MISS,"Rocky Mountain spotted fever vaccine",
SNOMED-CT-#46233009,#MISS,"Influenza vaccine",
SNOMED-CT-#4644001,#MISS,"Diphtheria toxoid",
SNOMED-CT-#48028008,#MISS,"Haemophilus b polysaccharide conjugate (diphtheria toxoid conjugate) vaccine",
SNOMED-CT-#52628005,#MISS,"Typhoid-paratyphoid vaccine",
SNOMED-CT-#54667003,#MISS,"Diphtheria and tetanus toxoids with pertussis, combined vaccine",
SNOMED-CT-#5524008,#MISS,"Rubella live virus vaccine",
SNOMED-CT-#56844000,#MISS,"Yellow fever vaccine",
SNOMED-CT-#58098008,#MISS,"Clostridium tetani toxoid antigen adsorbed-containing vaccine product",
SNOMED-CT-#59999009,#MISS,"Tetanus and diphtheria toxoid adsorbed for adult use",
SNOMED-CT-#61153008,#MISS,"Measles + Mumps + Rubella vaccine",
SNOMED-CT-#61602008,#MISS,"Pertussis vaccine",
SNOMED-CT-#64296005,#MISS,"Staphylococcus toxoid vaccine-containing product",
SNOMED-CT-#669007,#MISS,"Vaccinia virus vaccine",
SNOMED-CT-#669471000168107,#MISS,"Japanese encephalitis virus live vaccine",
SNOMED-CT-#68113000,#MISS,"Haemophilus b oligosaccharide conjugate(diphtheria CRM>197< protein conjugate) vaccine",
SNOMED-CT-#68208009,#MISS,"Clostridium tetani toxoid adsorbed and Corynebacterium diphtheriae toxoid antigens-containing vaccine product",
SNOMED-CT-#69728004,#MISS,"Meningococcus vaccine",
SNOMED-CT-#698026000,#MISS,"Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine/Hepatitis B Surface Antigen Vaccine",
SNOMED-CT-#70447008,#MISS,"Polyvalent pneumococcal vaccine",
SNOMED-CT-#716074004,#MISS,"Diphtheria toxoid adsorbed",
SNOMED-CT-#716075003,#MISS,"Tetanus toxoid adsorbed",
SNOMED-CT-#720783006,#MISS,"Meningococcus group B vaccine",
SNOMED-CT-#722218000,#MISS,"Human papilloma virus type 4 vaccine",
SNOMED-CT-#722219008,#MISS,"Human papilloma virus type 16 and type 18 vaccine",
SNOMED-CT-#724330005,#MISS,"Human papilloma virus type 9 vaccine",
SNOMED-CT-#734151005,#MISS,"Human papillomavirus type 6, 11, 16, and 18 vaccine",
SNOMED-CT-#73688000,#MISS,"Measles and German measles virus vaccine (live)",
SNOMED-CT-#764302009,#MISS,"Japanese encephalitis virus vaccine adsorbed",
SNOMED-CT-#764303004,#MISS,"Live typhoid vaccine",
SNOMED-CT-#764304005,#MISS,"Live Zoster virus vaccine",
SNOMED-CT-#766203003,#MISS,"Haemophilus b polysaccharide 10micrograms/tetanus toxoid 30micrograms powder for conventional release solution for injection vial",
SNOMED-CT-#766567004,#MISS,"Rotavirus live vaccine powder for conventional release oral suspension 1mL",
SNOMED-CT-#76685007,#MISS,"BCG vaccine",
SNOMED-CT-#768365004,#MISS,"Meningococcus group A vaccine",
SNOMED-CT-#768366003,#MISS,"Meningococcus group C vaccine",
SNOMED-CT-#768367007,#MISS,"Meningococcus group Y vaccine",
SNOMED-CT-#769801006,#MISS,"Hepatitis B surface antigen 20 microgram/mL suspension for injection vial",
SNOMED-CT-#769802004,#MISS,"Hepatitis B surface antigen 10 microgram/0.5 mL suspension for injection vial",
SNOMED-CT-#769803009,#MISS,"Hepatitis B surface antigen 20 microgram/mL suspension for injection syringe",
SNOMED-CT-#772495003,#MISS,"Hepatitis B virus surface antigen-containing product in parenteral dose form",
SNOMED-CT-#772947002,#MISS,"Hepatitis B virus surface antigen-containing product",
SNOMED-CT-#774388009,#MISS,"Staphylococcus toxoid vaccine only product",
SNOMED-CT-#776183008,#MISS,"Hepatitis B virus surface antigen only product",
SNOMED-CT-#779443005,#MISS,"Hepatitis B virus surface antigen only product in parenteral dose form",
SNOMED-CT-#781925007,#MISS,"Hepatitis B virus surface antigen 20 microgram/mL suspension for injection",
SNOMED-CT-#785864002,#MISS,"Meningococcal group B vaccine",
SNOMED-CT-#785865001,#MISS,"Measles and mumps vaccine",
SNOMED-CT-#788112005,#MISS,"Viral vaccine-containing product",
SNOMED-CT-#788113000,#MISS,"Bacterial vaccine-containing product",
SNOMED-CT-#836376002,#MISS,"Mumps orthorubulavirus and Rubella virus antigens-containing vaccine product",
SNOMED-CT-#836493003,#MISS,"Hepatitis A and Hepatitis B virus antigens-containing vaccine product",
SNOMED-CT-#836494009,#MISS,"Measles morbillivirus and Mumps orthorubulavirus and Rubella virus antigens-containing product",
SNOMED-CT-#836499004,#MISS,"Measles morbillivirus and Mumps orthorubulavirus antigens-containing product",
SNOMED-CT-#836501007,#MISS,"Hepatitis A virus and Salmonella enterica subspecies enterica serovar Typhi antigens-containing vaccine product",
SNOMED-CT-#836502000,#MISS,"Clostridium tetani and Corynebacterium diphtheriae antigens-containing vaccine product",
SNOMED-CT-#836503005,#MISS,"Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae antigens-containing vaccine product",
SNOMED-CT-#836504004,#MISS,"Clostridium tetani and Haemophilus influenzae type B antigens-containing vaccine product",
SNOMED-CT-#836505003,#MISS,"Clostridium tetani and Corynebacterium diphtheriae and Human poliovirus antigens-containing vaccine product",
SNOMED-CT-#836506002,#MISS,"Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type B antigens-containing vaccine product",
SNOMED-CT-#836507006,#MISS,"Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type B antigens-containing vaccine product",
SNOMED-CT-#836508001,#MISS,"Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Human poliovirus antigens-containing vaccine product",
SNOMED-CT-#838279002,#MISS,"Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type B and Human poliovirus antigens-containing vaccine product",
SNOMED-CT-#838280004,#MISS,"Human alphaherpesvirus 3 and Measles morbillivirus and Mumps orthorubulavirus and Rubella virus antigens-containing vaccine product",
SNOMED-CT-#865906006,#MISS,"Measles morbillivirus and Rubella virus antigens-containing vaccine product",
SNOMED-CT-#865907002,#MISS,"Clostridium tetani and Human poliovirus antigens-containing vaccine product",
SNOMED-CT-#865946000,#MISS,"Haemophilus influenzae type B and Hepatitis B virus antigens-containing vaccine product",
SNOMED-CT-#865970001,#MISS,"Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type B and Hepatitis B virus antigens-containing vaccine product",
SNOMED-CT-#871767000,#MISS,"Human papillomavirus 9 antigen only vaccine product",
SNOMED-CT-#871892008,#MISS,"Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Hepatitis B and Human poliovirus antigens-containing vaccine product",
SNOMED-CT-#871896006,#MISS,"Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type B and Hepatitis B virus and Human poliovirus antigens-containing vaccine product",
SNOMED-CT-#871917002,#MISS,"Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Hepatitis B antigens-containing vaccine product",
SNOMED-CT-#871923007,#MISS,"Bordetella pertussis and Clostridium tetani toxoid and Corynebacterium diphtheriae toxoid and Haemophilus influenzae type B and Hepatitis B virus and Human poliovirus antigens-containing vaccine product",
SNOMED-CT-#87939007,#MISS,"Measles live virus vaccine",
SNOMED-CT-#89428009,#MISS,"Typhoid vaccine",
SNOMED-CT-#90043005,#MISS,"Mumps live virus vaccine",
