SNOMED-CT,NUVA,SNOMED-CT label, NUVA label
SNOMED-CT-1162637003,VAC0552,"Acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type b and Hepatitis B virus and inactivated Human poliovirus antigens only vaccine product","Hexavalent vaccine DTPCaHibHepB - Diphtheria-Tetanus-Polio-Acellular Pertussis-Hib-HepB, unspecified"
SNOMED-CT-1162643001,VAC1113,"SARS-CoV-2 recombinant spike protein antigen vaccine","COVID-19 protein subunit vaccine, recombinant spike protein, unspecified"
SNOMED-CT-1181000221105,VAC0110,"Influenza virus antigen only vaccine product","Influenza vaccine, unspecified"
SNOMED-CT-1187593009,VAC1128,"SARS-CoV-2 DNA plasmid encoding spike protein vaccine","COVID-19 plasmid DNA vaccine, unspecified"
SNOMED-CT-1209197008,VAC0860,"Human papillomavirus 6, 11, 16, 18, 31, 33, 45, 52 and 58 antigens only vaccine product","HPV vaccine nonavalent, unspecified"
SNOMED-CT-121000221105,VAC0825,"Inactivated whole Hepatitis A and Hepatitis B surface antigens only vaccine product","Hepatitis A and hepatitis B combined vaccine, unspecified"
SNOMED-CT-1252690003,VAC1434,"Neisseria meningitidis serogroup A antigen only vaccine product","Meningococcal A vaccine, unspecified"
SNOMED-CT-1252703004,VAC0623,"Measles morbillivirus and Mumps orthorubulavirus antigens only vaccine product","Measles-mumps vaccine, unspecified"
SNOMED-CT-1252708008,VAC1239,"Streptococcus pneumoniae Danish serotype 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F, and 33F capsular polysaccharide conjugated antigens only vaccine product","Pneumococcal 15-valent polysaccharide conjugate vaccine, adsorbed, serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F and 33F"
SNOMED-CT-1252709000,VAC1163,"Streptococcus pneumoniae Danish serotype 1, 3, 4, 5, 6A, 6B, 7F, 8, 9V, 10A, 11A, 12F, 14, 15B, 18C, 19A, 19F, 22F, 23F, 33F capsular polysaccharide antigens conjugated only vaccine product","Pneumococcus 20-valent conjugate vaccine, unspecified"
SNOMED-CT-1254676002,#MISS,"Live attenuated virus antigen-containing vaccine product",
SNOMED-CT-1269346004,VAC0133,"Live attenuated Vaccinia virus antigen only vaccine product","Smallpox vaccine, unspecified"
SNOMED-CT-1287338003,VAC1037,"Tick-borne encephalitis virus antigen only pediatric vaccine product","Tick-borne encephalitis vaccine, Neudörfl strain, paediatric dose, unspecified"
SNOMED-CT-1287595003,VAC1117,"Paediatric B and BA.4/BA.5 lineage SARS-CoV-2 bivalent mRNA only vaccine product","COVID-19 bivalent mRNA vaccine against the original virus and the Omicron BA.4/5 variant, 5 micrograms, unspecified"
SNOMED-CT-1287596002,VAC1140,"Adult B and BA.4/BA.5 lineage SARS-CoV-2 bivalent mRNA only vaccine product","COVID-19 bivalent mRNA vaccine against the original virus and the Omicron BA.4/5 variant, 25 micrograms, unspecified"
SNOMED-CT-1287964002,VAC1421,"B lineage SARS-CoV-2 monovalent mRNA only vaccine product","COVID-19 vaccine, mRNA encoding the SARS-CoV-2 spike protein, original virus"
SNOMED-CT-1290123005,#MISS,"Protozoa antigen-containing vaccine product",
SNOMED-CT-1290624003,VAC0133,"Variola virus antigen-containing vaccine product","Smallpox vaccine, unspecified"
SNOMED-CT-1290625002,VAC0133,"Variola virus antigen only vaccine product","Smallpox vaccine, unspecified"
SNOMED-CT-1290764006,VAC0828,"Vaccine product containing only live pentavalent Rotavirus antigen","Rotavirus pentavalent vaccine, unspecified"
SNOMED-CT-1293025000,VAC1157,"Modified Vaccinia virus Ankara antigen only vaccine product","Smallpox 3rd generation vaccine, modified Ankara vaccinia virus, unspecified"
SNOMED-CT-1296676008,VAC0101,"Hepatitis B recombinant adsorbed surface antigen only vaccine product","Hepatitis B vaccine, recombinant, unspecified"
