CTI-EXTEND,NUVA,CTI-EXTEND label, NUVA label
CTI-EXTEND-287262-01,VAC0174,"ProQuad susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","PROQUAD"
CTI-EXTEND-389882-01,VAC0851,"Polio Sabin Mono Two susp. buv. flac.","POLIO SABIN MONO TWO (ORAL) GSK"
CTI-EXTEND-389882-02,VAC0851,"Polio Sabin Mono Two susp. buv. flac.","POLIO SABIN MONO TWO (ORAL) GSK"
CTI-EXTEND-289152-02,VAC0889,"Polio Sabin Mono Three (Oral) susp. buv. flac.","MONO OPV3"
CTI-EXTEND-289152-01,VAC0889,"Polio Sabin Mono Three (Oral) susp. buv. flac.","MONO OPV3"
CTI-EXTEND-274391-01,VAC0886,"Polio Sabin Mono One susp. buv. flac.","MONO OPV1"
CTI-EXTEND-274391-02,VAC0886,"Polio Sabin Mono One susp. buv. flac.","MONO OPV1"
CTI-EXTEND-133637-01,VAC0013,"Imovax Polio susp. inj. s.c./i.m. ser. préremplie","IMOVAX POLIO"
CTI-EXTEND-349334-01,VAC0803,"Polio Sabin One And Three (Oral) susp. buv. flac.","Polio Sabin One and Three GSK"
CTI-EXTEND-349334-02,VAC0803,"Polio Sabin One And Three (Oral) susp. buv. flac.","Polio Sabin One and Three GSK"
CTI-EXTEND-500231-01,VAC0028,"Rabipur sol. inj. (pdr. + solv.) i.m. ser. préremplie flac.","RABIPUR"
CTI-EXTEND-661685-02,VAC0593,"Verorab susp. inj. (pdr. + solv.) i.derm./i.m. ser. préremplie flac.","VERORAB"
CTI-EXTEND-661685-01,VAC0593,"Verorab susp. inj. (pdr. + solv.) i.derm./i.m. ser. préremplie flac.","VERORAB"
CTI-EXTEND-565982-01,VAC0514,"Rotarix susp. buv.","ROTARIX"
CTI-EXTEND-325017-01,VAC0514,"Rotarix susp. buv.","ROTARIX"
CTI-EXTEND-324992-01,VAC0514,"Rotarix susp. buv.","ROTARIX"
CTI-EXTEND-325001-01,VAC0514,"Rotarix susp. buv.","ROTARIX"
CTI-EXTEND-324992-03,VAC0514,"Rotarix susp. buv.","ROTARIX"
CTI-EXTEND-324992-02,VAC0514,"Rotarix susp. buv.","ROTARIX"
CTI-EXTEND-324974-01,VAC0514,"Rotarix susp. buv. applic. préremplie or.","ROTARIX"
CTI-EXTEND-324956-01,VAC0514,"Rotarix susp. buv. applic. préremplie or.","ROTARIX"
